tmdb_id,title,vote_average,vote_count,popularity,release_date,genre_ids,overview,fetched_at,youtube_key,trailer_name,trailer_type,trailer_url
207,Dead Poets Society,8.3,12937,24.0386,1989-06-02,[18],"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",2026-09-09T10:51:53.418026,s_jsDreXFZU,Dead Poets Society (1989) Trailer Full HD,Trailer,https://www.youtube.com/watch?v=s_jsDreXFZU
101,Léon: The Professional,8.293,16480,26.8047,1994-09-14,"[80, 18, 28]","Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.",2026-09-09T10:51:53.418029,DD-6bmOY__g,30 Year Anniversary 4K Restoration - Official Trailer,Trailer,https://www.youtube.com/watch?v=DD-6bmOY__g
644479,Dedicated to my ex,8.285,514,4.8114,2019-11-01,"[18, 35]","The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",2026-09-09T10:51:53.418032,hU2DASqjvi4,Tráiler Final | Dedicada a mi Ex,Trailer,https://www.youtube.com/watch?v=hU2DASqjvi4
914,The Great Dictator,8.284,3794,11.0862,1940-10-15,"[35, 10752]",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,2026-09-09T10:51:53.418036,i1C6qZVeFtA,Original Trailer,Trailer,https://www.youtube.com/watch?v=i1C6qZVeFtA
42269,We All Loved Each Other So Much,8.3,663,5.2427,1974-12-21,"[18, 35]","Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",2026-09-09T10:51:53.418039,GFaFeuPep5w,We All Loved Each Other So Much (1974) - Trailer,Trailer,https://www.youtube.com/watch?v=GFaFeuPep5w
820067,The Quintessential Quintuplets Movie,8.282,455,10.8832,2022-05-20,"[16, 35, 10749]","When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",2026-09-09T10:51:53.418054,maS5nHFa1o8,Official Trailer [Subtitled],Trailer,https://www.youtube.com/watch?v=maS5nHFa1o8
3082,Modern Times,8.3,4174,11.8657,1936-02-05,"[35, 18, 10749]","A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time...",2026-09-09T10:51:53.418057,NNznUyDmSFc,Modern Times (1936) ORIGINAL TRAILER [HD 1080p],Trailer,https://www.youtube.com/watch?v=NNznUyDmSFc
654299,Out of the Clear Blue Sky,8.279,391,4.5218,2019-12-24,"[35, 18, 10402]","Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise.",2026-09-09T10:51:53.418061,,,,
1585,It's a Wonderful Life,8.276,5047,12.9787,1946-12-20,"[18, 10751, 14]","George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",2026-09-09T10:51:53.730791,6jB4Vsi1UUM,Park Circus Official trailer,Trailer,https://www.youtube.com/watch?v=6jB4Vsi1UUM
1439930,The Punisher: One Last Kill,8.274,2196,46.0258,2026-05-12,"[28, 18, 80]","As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",2026-09-09T10:51:53.730801,oSeqs_xeqv4,Official Trailer,Trailer,https://www.youtube.com/watch?v=oSeqs_xeqv4
